,,HEPG2 mock,H2O2 ,2605L 6h,2277L 6h,2277H 6h,STD,HEPG2 mock,H2O2 ,2605L 6h,2277L 6h,2277H 6h,p-value,H2O2 ,2605L 6h,2277L 6h,2277H 6h
Cardiovascular care,IGF2BP3,1.0,0.8589040136356209,0.854035816853067,0.8588222933059376,0.8915571225104486,,0.0,0.15085223447616303,0.0395302614516284,0.05873198462789501,0.10295002099569521,,0.180540179988369,0.003068857507362584,0.014105865985622544,0.14213826046941236
Cardiovascular care,IL-6,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Cardiovascular care,IL-8,1.0,1.0,1.0,1.0,1.0273333333333332,,0.0,0.0,0.0,0.0,0.04734272207354936,,,,,0.3739009663000612
Cardiovascular care,NOS3,1.0,0.9030067016844775,0.8947654410432894,0.9779931171889151,0.6954356094910342,,0.0,0.6228920265220079,0.020420769922208228,0.06629252392478342,0.035486835072532634,,0.800728974724406,0.0008711020772180968,0.5960970974654314,0.0001192535499231007
Cardiovascular care,PDGFC,1.0,0.9274993693769443,0.8142394685949718,0.7589548473892206,0.6468510888758092,,0.0,0.07588893675342213,0.08314975631255857,0.03859459469206711,0.12377100620039663,,0.17332425399708118,0.01800137564916107,0.0004142627271999653,0.0078058283277397805
Cardiovascular care,PLAT,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Cardiovascular care,PROC,1.0,0.8976557801339361,0.9052445922111624,0.9220305309465404,0.32124394347923046,,0.0,0.053882723143602394,0.10468013482339895,0.02647201744254737,0.02879306824792651,,0.03022012521975019,0.19199193078320043,0.006975295202364848,2.1501609390109933e-06
Cardiovascular care,PTGIS,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Cardiovascular care,SERPINE1,1.0,1.5591547400062808,1.553898036400616,1.4753914486966664,1.6007746721103084,,0.0,0.29054557291905436,0.09255770479855722,0.1287080621706213,0.07675607060497867,,0.029015440219110074,0.0004890580857402456,0.0030654848237249574,0.0001713648754647612
Cardiovascular care,VCAM1,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Cardiovascular care,VWF,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
immunity,IL-10,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
immunity,IL-18,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
immunity,IL-1B,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
immunity,IL-6,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
immunity,IL-8,1.0,1.0,1.0,1.0,1.0273333333333332,,0.0,0.0,0.0,0.0,0.04734272207354936,,,,,0.3739009663000612
immunity,TNF-a,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Anti-inflammatory,IFNG,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Anti-inflammatory,IL-10,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Anti-inflammatory,IL-16,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Anti-inflammatory,IL-18,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Anti-inflammatory,IL-1B,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Anti-inflammatory,IL-6,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Anti-inflammatory,IL-8,1.0,1.0,1.0,1.0,1.0273333333333332,,0.0,0.0,0.0,0.0,0.04734272207354936,,,,,0.3739009663000612
Anti-inflammatory,IL12A,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Anti-inflammatory,IL23,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Anti-inflammatory,IL3,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Anti-inflammatory,IL4,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
